sid,time_iso,time_ns,lat,lon
b'1980200N25270',1980-07-17T14:59:59.999959744,332693999999959744,23.282501220703125,-86.125
b'1980200N25270',1980-07-17T17:59:59.999959744,332704799999959744,24.5,-88.79000091552734
b'1980200N25270',1980-07-17T17:59:59.999959744,332704799999959744,23.2400016784668,-87.95000457763672
b'1980200N25270',1980-07-18T02:59:59.999959744,332737199999959744,32.47249984741211,-89.99249267578125
b'1980200N25270',1980-07-18T05:59:59.999959744,332747999999959744,32.0,-86.29999542236328
b'1980200N25270',1980-07-18T05:59:59.999959744,332747999999959744,32.279998779296875,-85.66999816894531
b'1980200N25270',1980-07-18T11:59:59.999959744,332769599999959744,26.559999465942383,-87.5300064086914
b'1980200N25270',1980-07-18T14:59:59.999959744,332780399999959744,25.75749969482422,-86.77000427246094
b'1980200N25270',1980-07-18T17:59:59.999959744,332791199999959744,25.43000030517578,-89.58000183105469
b'1980200N25270',1980-07-19T02:59:59.999959744,332823599999959744,20.01999855041504,-93.97750091552734
b'1980200N25270',1980-07-19T08:59:59.999959744,332845199999959744,25.989999771118164,-91.41500091552734
b'1980200N25270',1980-07-19T11:59:59.999959744,332855999999959744,26.15999984741211,-91.12000274658205
b'1980200N25270',1980-07-19T14:59:59.999959744,332866799999959744,25.78499984741211,-89.2699966430664
b'1980200N25270',1980-07-19T17:59:59.999959744,332877599999959744,26.84000015258789,-89.0999984741211
b'1980200N25270',1980-07-19T20:59:59.999959744,332888399999959744,23.48500061035156,-88.51750183105469
b'1980200N25270',1980-07-19T23:59:59.999959744,332899199999959744,22.479999542236328,-90.6500015258789
b'1980200N25270',1980-07-19T23:59:59.999959744,332899199999959744,21.28999900817871,-93.23999786376952
b'1980200N25270',1980-07-20T02:59:59.999959744,332909999999959744,21.732500076293945,-96.81500244140624
b'1980200N25270',1980-07-20T05:59:59.999959744,332920799999959744,21.979999542236328,-95.95000457763672
b'1980200N25270',1980-07-20T08:59:59.999959744,332931599999959744,27.597501754760746,-94.20249938964844
b'1980200N25270',1980-07-20T11:59:59.999959744,332942399999959744,28.5,-92.68000030517578
b'1980200N25270',1980-07-20T11:59:59.999959744,332942399999959744,28.43000030517578,-93.5199966430664
b'1980200N25270',1980-07-20T14:59:59.999959744,332953199999959744,28.68000030517578,-88.82249450683594
b'1980200N25270',1980-07-20T14:59:59.999959744,332953199999959744,29.100000381469727,-88.47249603271484
b'1980200N25270',1980-07-20T17:59:59.999959744,332963999999959744,28.57999992370605,-89.68000030517578
b'1980200N25270',1980-07-20T20:59:59.999959744,332974799999959744,26.799999237060547,-95.61249542236328
b'1980200N25270',1980-07-20T23:59:59.999959744,332985599999959744,21.380001068115234,-100.52999114990234
b'1980200N25270',1980-07-21T02:59:59.999959744,332996399999959744,26.18000030517578,-101.9375
b'1980200N25270',1980-07-21T05:59:59.999959744,333007199999959744,37.70000076293945,-101.16999816894533
b'1980200N25270',1980-07-21T08:59:59.999959744,333017999999959744,36.54999923706055,-99.125
